"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","F04主流程--普通订单(专卖店自提)","F04S05_进入收银台","0","0","1","0","0"
"","F05主流程--组队订单","F05S05_进入组队订单页","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S02_获取购物车生成的checkoutID","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S07_创建订单","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S04_选择专卖店自提","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S03_结算页","0","0","1","0","0"
"","F01主流程--拓展订单","F01S05_结算页","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S05_进入收银台","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S04_选择快递发运","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S01_商品加入购物车","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S01_商品加入购物车","0","0","1","0","0"
"","F01主流程--拓展订单","F05S01_登录","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S06_选择支付渠道","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S01_商品加入购物车","0","0","1","0","0"
"","F01主流程--拓展订单","F01S02_商品加入购物车","0","0","1","0","0"
"","F01主流程--拓展订单","F01S08_支付订单","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S02_获取购物车生成的checkoutID","0","0","1","0","0"
"","F01主流程--拓展订单","F01S03_获取shipping_address_id","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S07_创建订单","0","0","1","0","0"
"","F05主流程--组队订单","F05S01_商品加入购物车","0","0","1","0","0"
"","F01主流程--拓展订单","F01S06_进入收银台","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S03_结算页","0","0","1","0","0"
"","F01主流程--拓展订单","F01S04_获取checkoutID","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S05_进入收银台","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S03_结算页","0","0","1","0","0"
"","F05主流程--组队订单","F05S03_结算页","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S07_创建订单","0","0","1","0","0"
"","F05主流程--组队订单","F05S04_创建组队订单","0","0","1","0","0"
"","F05主流程--组队订单","F05S06_组队订单支付","0","0","1","0","0"
"","F05主流程--组队订单","F05S07_选择支付渠道","0","0","1","0","0"
"","F05主流程--组队订单","F05S08_创建订单","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S06_选择支付渠道","0","0","1","0","0"
"","F02主流程--普通订单(选择快递发运)","F02S06_选择支付渠道","0","0","1","0","0"
"","F03主流程--普通订单(分公司自提)","F03S04_选择分公司自提","0","0","1","0","0"
"","F05主流程--组队订单","F05S02_获取购物车生成的checkoutID","0","0","1","0","0"
"","F04主流程--普通订单(专卖店自提)","F04S02_获取购物车生成的checkoutID","0","0","1","0","0"
"","F01主流程--拓展订单","F01S07_选择支付渠道","0","0","1","0","0"
