"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 09:15:38 CST 2023","Fri Feb 10 09:15:44 CST 2023","6142","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_go_pay","正常用例进收银台"
"passed","Fri Feb 10 09:16:11 CST 2023","Fri Feb 10 09:16:19 CST 2023","7593","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_go_pay","正常用例进收银台"
"passed","Fri Feb 10 09:15:02 CST 2023","Fri Feb 10 09:15:03 CST 2023","1608","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_get_checkoutid","正常用例进购"
"passed","Fri Feb 10 09:14:59 CST 2023","Fri Feb 10 09:15:00 CST 2023","1363","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_create_order","正常用例后调"
"passed","Fri Feb 10 09:15:31 CST 2023","Fri Feb 10 09:15:38 CST 2023","7078","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_select_method_delivery","正常用例进结算页"
"passed","Fri Feb 10 09:14:47 CST 2023","Fri Feb 10 09:14:51 CST 2023","3213","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_checkout","正常用例先调"
"passed","Fri Feb 10 09:14:42 CST 2023","Fri Feb 10 09:14:43 CST 2023","1130","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_checkout","正常用例先调"
"passed","Fri Feb 10 09:15:12 CST 2023","Fri Feb 10 09:15:16 CST 2023","4320","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_go_pay","正常用例进收银台"
"passed","Fri Feb 10 09:14:51 CST 2023","Fri Feb 10 09:14:54 CST 2023","3486","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_select_method_delivery","正常用例进结算页"
"passed","Fri Feb 10 09:14:46 CST 2023","Fri Feb 10 09:14:46 CST 2023","749","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_shoppingcart_add","正常用例加购"
"passed","Fri Feb 10 09:15:00 CST 2023","Fri Feb 10 09:15:02 CST 2023","1407","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_shoppingcart_add","正常用例加购"
"passed","Fri Feb 10 09:14:40 CST 2023","Fri Feb 10 09:14:40 CST 2023","416","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_login_user","正常用例登录"
"passed","Fri Feb 10 09:15:44 CST 2023","Fri Feb 10 09:15:48 CST 2023","3537","testcases.api_test","test_01_user_order","TestUserOrderDelivery","","","test_select_paychannel","正常用例先调"
